asn=0    	id=-1  	Main	copying configuration file E:\tsch-new-manual\tsch-sim\examples\threeLineExmp\config.json to output directory E:\tsch-new-manual\tsch-sim\results\2022-01-12_14-35-04\config.json[MAIN]
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 2 "node" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	generating a line network with 2 nodes [GENERATE_NETWORK]
asn=0    	id=1   	Main	set position x=0.00 y=0.00[SIMULATOR]
asn=0    	id=2   	Main	set position x=23.47 y=0.00[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=5 [SCHEDULER NEW]
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	about to add cells at channel offset=2 called by node 1 [SCHEDULER NEW]
asn=0    	id=1   	Node	Add cell in timeslot: 2 channel offset: 2 in slotframe: 1
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	Node	Start method called from Manual Routing for 1
asn=0    	id=1   	Node	Route File Read successfully [ROUTING MANUAL]
asn=0    	id=1   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=0    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=1   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=5 [SCHEDULER NEW]
asn=0    	id=2   	Node	Slotframe number 1 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=2   	TSCH	about to add cells at channel offset=3 called by node 2 [SCHEDULER NEW]
asn=0    	id=2   	Node	Add cell in timeslot: 2 channel offset: 2 in slotframe: 1
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	Node	scanning on channel=15...[NODE]
asn=5    	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=5    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=301  	id=2   	Node	scanning on channel=20...[NODE]
asn=402  	id=2   	Node	scanning on channel=26...[NODE]
asn=503  	id=2   	Node	scanning on channel=25...[NODE]
asn=705  	id=2   	Node	scanning on channel=26...[NODE]
asn=907  	id=2   	Node	scanning on channel=15...[NODE]
asn=1008 	id=2   	Node	scanning on channel=25...[NODE]
asn=1109 	id=2   	Node	scanning on channel=20...[NODE]
asn=1311 	id=2   	Node	scanning on channel=26...[NODE]
asn=1412 	id=2   	Node	scanning on channel=20...[NODE]
asn=1440 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=1440 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1513 	id=2   	Node	scanning on channel=26...[NODE]
asn=1913 	id=2   	Node	scanning on channel=15...[NODE]
asn=2013 	id=2   	Node	scanning on channel=20...[NODE]
asn=2113 	id=2   	Node	scanning on channel=25...[NODE]
asn=2313 	id=2   	Node	scanning on channel=26...[NODE]
asn=2413 	id=2   	Node	scanning on channel=15...[NODE]
asn=2513 	id=2   	Node	scanning on channel=26...[NODE]
asn=2813 	id=2   	Node	scanning on channel=15...[NODE]
asn=2835 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=2835 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2913 	id=2   	Node	scanning on channel=20...[NODE]
asn=3013 	id=2   	Node	scanning on channel=26...[NODE]
asn=3113 	id=2   	Node	scanning on channel=20...[NODE]
asn=3314 	id=2   	Node	scanning on channel=25...[NODE]
asn=3516 	id=2   	Node	scanning on channel=20...[NODE]
asn=3617 	id=2   	Node	scanning on channel=15...[NODE]
asn=3718 	id=2   	Node	scanning on channel=26...[NODE]
asn=4060 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=4060 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4324 	id=2   	Node	scanning on channel=25...[NODE]
asn=4526 	id=2   	Node	scanning on channel=26...[NODE]
asn=4627 	id=2   	Node	scanning on channel=25...[NODE]
asn=4728 	id=2   	Node	scanning on channel=20...[NODE]
asn=4930 	id=2   	Node	scanning on channel=15...[NODE]
asn=5031 	id=2   	Node	scanning on channel=26...[NODE]
asn=5233 	id=2   	Node	scanning on channel=25...[NODE]
asn=5334 	id=2   	Node	scanning on channel=20...[NODE]
asn=5435 	id=2   	Node	scanning on channel=26...[NODE]
asn=5536 	id=2   	Node	scanning on channel=15...[NODE]
asn=5575 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=5575 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=5637 	id=2   	Node	scanning on channel=26...[NODE]
asn=5738 	id=2   	Node	scanning on channel=25...[NODE]
asn=5839 	id=2   	Node	scanning on channel=20...[NODE]
asn=5940 	id=2   	Node	scanning on channel=26...[NODE]
asn=6001 	id=-1  	Main	60 seconds, progress 10.00%[SIMULATOR]
asn=6001 	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=6001 	id=-1  	Main	joined_routing/joined_tsch/total=1/1/2 [ROUTE]
asn=6001 	id=-1  	TSCH	Periodic process called for [Node]
asn=6001 	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=6001 	id=1   	TSCH	stats: {"idle_listen":2395,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":0,"tx_data":5,"tx_data_rx_ack":0}[NODE]
asn=6001 	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=6001 	id=2   	TSCH	stats: {"idle_listen":0,"channel_scan":6000,"rx_data":0,"rx_data_tx_ack":0,"tx_data":0,"tx_data_rx_ack":0}[NODE]
asn=6041 	id=2   	Node	scanning on channel=20...[NODE]
asn=6142 	id=2   	Node	scanning on channel=25...[NODE]
asn=6344 	id=2   	Node	scanning on channel=20...[NODE]
asn=6444 	id=2   	Node	scanning on channel=15...[NODE]
asn=6544 	id=2   	Node	scanning on channel=26...[NODE]
asn=6744 	id=2   	Node	scanning on channel=20...[NODE]
asn=6944 	id=2   	Node	scanning on channel=26...[NODE]
asn=7015 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=7015 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=7044 	id=2   	Node	scanning on channel=15...[NODE]
asn=7144 	id=2   	Node	scanning on channel=26...[NODE]
asn=7244 	id=2   	Node	scanning on channel=15...[NODE]
asn=7344 	id=2   	Node	scanning on channel=20...[NODE]
asn=7444 	id=2   	Node	scanning on channel=25...[NODE]
asn=7544 	id=2   	Node	scanning on channel=20...[NODE]
asn=7644 	id=2   	Node	scanning on channel=25...[NODE]
asn=7744 	id=2   	Node	scanning on channel=26...[NODE]
asn=7844 	id=2   	Node	scanning on channel=15...[NODE]
asn=8244 	id=2   	Node	scanning on channel=20...[NODE]
asn=8344 	id=2   	Node	scanning on channel=25...[NODE]
asn=8370 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=8370 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=8444 	id=2   	Node	scanning on channel=26...[NODE]
asn=8644 	id=2   	Node	scanning on channel=25...[NODE]
asn=8744 	id=2   	Node	scanning on channel=26...[NODE]
asn=8844 	id=2   	Node	scanning on channel=20...[NODE]
asn=9044 	id=2   	Node	scanning on channel=25...[NODE]
asn=9144 	id=2   	Node	scanning on channel=20...[NODE]
asn=9244 	id=2   	Node	scanning on channel=26...[NODE]
asn=9444 	id=2   	Node	scanning on channel=15...[NODE]
asn=9544 	id=2   	Node	scanning on channel=25...[NODE]
asn=9644 	id=2   	Node	scanning on channel=15...[NODE]
asn=9744 	id=2   	Node	scanning on channel=20...[NODE]
asn=9844 	id=2   	Node	scanning on channel=15...[NODE]
asn=9920 	id=2   	Node	add neighbor id=1 [NODE]
asn=9920 	id=2   	Node	Add_route called from ensure neighbor
asn=9920 	id=2   	TSCH	joined/associated at 99.2 on receiving an EB packet from 1[NODE]
asn=9920 	id=2   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=9920 	id=2   	Node	update time source called [NODE]
asn=9920 	id=2   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=9920 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9920 	id=2   	Node	Start method called from Manual Routing for 2
asn=9920 	id=2   	Node	Route File Read successfully [ROUTING MANUAL]
asn=9920 	id=2   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=9920 	id=2   	Node	Reading routes for Node 2 [ROUTING MANUAL]
asn=9920 	id=2   	Node	Destination = 1, Nexthop = 1 [ROUTING MANUAL]
asn=9920 	id=2   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 2
asn=9920 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9920 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9920 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=9920 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=10375	id=1   	Node	add neighbor id=2 [NODE]
asn=10375	id=1   	Node	Add_route called from ensure neighbor
asn=10375	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=10375	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=10822	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=10822	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=10822	id=2   	App	generate a packet, seqnum=1 for=1 [PACKET_SOURCE]
asn=10822	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=10822	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=10822	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=10822	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 1], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=10822	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=10822	id=1   	App	rx app packet seqnum=1 from=2 at cell [ts: 2, co: 2][NODE]
asn=10822	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=1 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=10822	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=10822	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11345	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11345	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=11345	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11691	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=11691	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=11691	id=2   	App	generate a packet, seqnum=2 for=1 [PACKET_SOURCE]
asn=11691	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=11691	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=11691	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=11691	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 2], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=11691	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=11692	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=2 packet buffer: timeslot: 2 channel offset: 2 acked=false[NODE]
asn=11697	id=1   	App	rx app packet seqnum=2 from=2 at cell [ts: 2, co: 2][NODE]
asn=11697	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=2 seqnum=2 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=11697	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=11697	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12000	id=-1  	Main	120 seconds, progress 20.00%[SIMULATOR]
asn=12000	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=12000	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=12000	id=-1  	TSCH	Periodic process called for [Node]
asn=12000	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=12000	id=1   	TSCH	stats: {"idle_listen":4788,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":2,"tx_data":9,"tx_data_rx_ack":0}[NODE]
asn=12000	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=12000	id=2   	TSCH	stats: {"idle_listen":827,"channel_scan":9920,"rx_data":0,"rx_data_tx_ack":0,"tx_data":1,"tx_data_rx_ack":3}[NODE]
asn=12000	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=12000	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12039	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=12039	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=12039	id=2   	App	generate a packet, seqnum=3 for=1 [PACKET_SOURCE]
asn=12039	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=12039	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=12039	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=12039	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 3], channel offset=2 timeslot=2[SCHEDULER NEW]
asn=12039	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=12042	id=1   	App	rx app packet seqnum=3 from=2 at cell [ts: 2, co: 2][NODE]
asn=12042	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=3 packet buffer: timeslot: 2 channel offset: 2 acked=true, remove packet[NODE]
asn=12042	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
