asn=0    	id=-1  	Main	copying configuration file E:\test-projects\TSCH_experiment\examples\mesh\config.json to output directory E:\test-projects\TSCH_experiment\results\2022-01-19_12-00-41\config.json[MAIN]
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 10 "node" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	generating a mesh network with 10 nodes and 5 degrees
asn=0    	id=-1  	Main	initialized, net.degrees=0.8 range=[4.5,5.5]
asn=0    	id=-1  	Main	increase degrees, current net.degrees=0.8
asn=0    	id=-1  	Main	increase degrees, current net.degrees=0.6
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.4
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=0.6
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.4
asn=0    	id=-1  	Main	increase degrees, current net.degrees=0.8
asn=0    	id=-1  	Main	increase degrees, current net.degrees=2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.8
asn=0    	id=-1  	Main	increase degrees, current net.degrees=2.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.4
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.6
asn=0    	id=-1  	Main	increase degrees, current net.degrees=2.4
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.6
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.8
asn=0    	id=-1  	Main	increase degrees, current net.degrees=1.6
asn=0    	id=-1  	Main	increase degrees, current net.degrees=2.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=2.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=2.4
asn=0    	id=-1  	Main	increase degrees, current net.degrees=2.6
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3.4
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=2.2
asn=0    	id=-1  	Main	increase degrees, current net.degrees=3.4
asn=0    	id=-1  	Main	increase degrees, current net.degrees=4.2
asn=0    	id=-1  	Main	decrease degrees, current net.degrees=6.4 area_multiplier=0.35538339780838696
asn=0    	id=-1  	Main	increase degrees, current net.degrees=4.4
asn=0    	id=-1  	Main	increase degrees, current net.degrees=4.4
asn=0    	id=-1  	Main	decrease degrees, current net.degrees=6 area_multiplier=0.34503242505668635
asn=0    	id=1   	Main	set position x=0.00 y=0.00[SIMULATOR]
asn=0    	id=2   	Main	set position x=7.51 y=-0.88[SIMULATOR]
asn=0    	id=3   	Main	set position x=127.30 y=6.91[SIMULATOR]
asn=0    	id=4   	Main	set position x=1.63 y=158.22[SIMULATOR]
asn=0    	id=5   	Main	set position x=-104.71 y=-71.32[SIMULATOR]
asn=0    	id=6   	Main	set position x=-145.33 y=76.11[SIMULATOR]
asn=0    	id=7   	Main	set position x=59.73 y=-127.79[SIMULATOR]
asn=0    	id=8   	Main	set position x=26.15 y=-36.13[SIMULATOR]
asn=0    	id=9   	Main	set position x=-31.66 y=108.02[SIMULATOR]
asn=0    	id=10  	Main	set position x=-49.99 y=74.12[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=5 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=6 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=7 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=8 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=9 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=10 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	about to add cells at channel offset=2 called by node 1 [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 1 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=2   	Node	Slotframe number 1 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=2   	TSCH	about to add cells at channel offset=1 called by node 2 [SCHEDULER NEW]
asn=0    	id=2   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Node	scanning on channel=15...[NODE]
asn=0    	id=3   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=3   	Node	Slotframe number 1 added from node: 3 [NODE]
asn=0    	id=3   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=3   	TSCH	about to add cells at channel offset=2 called by node 3 [SCHEDULER NEW]
asn=0    	id=3   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=3   	Node	update time source called [NODE]
asn=0    	id=3   	Node	scanning on channel=20...[NODE]
asn=0    	id=4   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=4   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=4   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=4   	Node	Slotframe number 1 added from node: 4 [NODE]
asn=0    	id=4   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=4   	TSCH	about to add cells at channel offset=1 called by node 4 [SCHEDULER NEW]
asn=0    	id=4   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=4   	Node	update time source called [NODE]
asn=0    	id=4   	Node	scanning on channel=25...[NODE]
asn=0    	id=5   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=5   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=5   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=5   	Node	Slotframe number 1 added from node: 5 [NODE]
asn=0    	id=5   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=5   	TSCH	about to add cells at channel offset=2 called by node 5 [SCHEDULER NEW]
asn=0    	id=5   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=5   	Node	update time source called [NODE]
asn=0    	id=5   	Node	scanning on channel=15...[NODE]
asn=0    	id=6   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=6   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=6   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=6   	Node	Slotframe number 1 added from node: 6 [NODE]
asn=0    	id=6   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=6   	TSCH	about to add cells at channel offset=1 called by node 6 [SCHEDULER NEW]
asn=0    	id=6   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=6   	Node	update time source called [NODE]
asn=0    	id=6   	Node	scanning on channel=25...[NODE]
asn=0    	id=7   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=7   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=7   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=7   	Node	Slotframe number 1 added from node: 7 [NODE]
asn=0    	id=7   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=7   	TSCH	about to add cells at channel offset=2 called by node 7 [SCHEDULER NEW]
asn=0    	id=7   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=7   	Node	update time source called [NODE]
asn=0    	id=7   	Node	scanning on channel=20...[NODE]
asn=0    	id=8   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=8   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=8   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=8   	Node	Slotframe number 1 added from node: 8 [NODE]
asn=0    	id=8   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=8   	TSCH	about to add cells at channel offset=1 called by node 8 [SCHEDULER NEW]
asn=0    	id=8   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=8   	Node	update time source called [NODE]
asn=0    	id=8   	Node	scanning on channel=25...[NODE]
asn=0    	id=9   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=9   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=9   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=9   	Node	Slotframe number 1 added from node: 9 [NODE]
asn=0    	id=9   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=9   	TSCH	about to add cells at channel offset=2 called by node 9 [SCHEDULER NEW]
asn=0    	id=9   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=9   	Node	update time source called [NODE]
asn=0    	id=9   	Node	scanning on channel=20...[NODE]
asn=0    	id=10  	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=10  	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=10  	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=3 [SCHEDULER NEW]
asn=0    	id=10  	Node	Slotframe number 1 added from node: 10 [NODE]
asn=0    	id=10  	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=10  	TSCH	about to add cells at channel offset=1 called by node 10 [SCHEDULER NEW]
asn=0    	id=10  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=10  	Node	update time source called [NODE]
asn=0    	id=10  	Node	scanning on channel=25...[NODE]
asn=3    	id=3   	Node	add neighbor id=1 [NODE]
asn=3    	id=3   	TSCH	joined/associated at 0.03 on receiving an EB packet from 1[NODE]
asn=3    	id=3   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=3    	id=3   	Node	update time source called [NODE]
asn=3    	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3    	id=3   	RPL	DIS output to -1
asn=3    	id=3   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=3    	id=3   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=3    	id=3   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=3    	id=3   	TSCH	Node: 3  length: 1 on packet ready
asn=3    	id=3   	TSCH	schedule packet [src: 3, dest: -1, seqnum: -1], channel offset=0 timeslot=0[SCHEDULER NEW]
asn=3    	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3    	id=7   	Node	add neighbor id=1 [NODE]
asn=3    	id=7   	TSCH	joined/associated at 0.03 on receiving an EB packet from 1[NODE]
asn=3    	id=7   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=3    	id=7   	Node	update time source called [NODE]
asn=3    	id=7   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3    	id=7   	RPL	DIS output to -1
asn=3    	id=7   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=3    	id=7   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=3    	id=7   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=3    	id=7   	TSCH	Node: 7  length: 1 on packet ready
asn=3    	id=7   	TSCH	schedule packet [src: 7, dest: -1, seqnum: -1], channel offset=0 timeslot=0[SCHEDULER NEW]
asn=3    	id=7   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3    	id=9   	Node	add neighbor id=1 [NODE]
asn=3    	id=9   	TSCH	joined/associated at 0.03 on receiving an EB packet from 1[NODE]
asn=3    	id=9   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=3    	id=9   	Node	update time source called [NODE]
asn=3    	id=9   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3    	id=9   	RPL	DIS output to -1
asn=3    	id=9   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=3    	id=9   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=3    	id=9   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=3    	id=9   	TSCH	Node: 9  length: 1 on packet ready
asn=3    	id=9   	TSCH	schedule packet [src: 9, dest: -1, seqnum: -1], channel offset=0 timeslot=0[SCHEDULER NEW]
asn=3    	id=9   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=100  	id=10  	Node	scanning on channel=20...[NODE]
asn=100  	id=2   	Node	scanning on channel=20...[NODE]
