asn=0    	id=-1  	Main	copying configuration file E:\test-projects\TSCH_experiment\my_experiment\two_node_experiment\config.json to output directory E:\test-projects\TSCH_experiment\results\2022-02-10_18-01-34\config.json[MAIN]
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 2 "node" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	about to add cells at channel offset=2 called by node 1 [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 1 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	Node	Start method called from Manual Routing for 1
asn=0    	id=1   	Node	Route File Read successfully [ROUTING MANUAL]
asn=0    	id=1   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=0    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=1   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=2   	Node	Slotframe number 1 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=2   	TSCH	about to add cells at channel offset=3 called by node 2 [SCHEDULER NEW]
asn=0    	id=2   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	Node	scanning on channel=20...[NODE]
asn=15   	id=2   	Node	add neighbor id=1 [NODE]
asn=15   	id=2   	Node	Add_route called from ensure neighbor
asn=15   	id=2   	TSCH	joined/associated at 0.15 on receiving an EB packet from 1[NODE]
asn=15   	id=2   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=15   	id=2   	Node	update time source called [NODE]
asn=15   	id=2   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=15   	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15   	id=2   	Node	Start method called from Manual Routing for 2
asn=15   	id=2   	Node	Route File Read successfully [ROUTING MANUAL]
asn=15   	id=2   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=15   	id=2   	Node	Reading routes for Node 2 [ROUTING MANUAL]
asn=15   	id=2   	Node	Destination = 1, Nexthop = 1 [ROUTING MANUAL]
asn=15   	id=2   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 2
asn=15   	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15   	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15   	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15   	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=375  	id=1   	Node	add neighbor id=2 [NODE]
asn=375  	id=1   	Node	Add_route called from ensure neighbor
asn=375  	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=375  	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1260 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1260 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=1260 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1665 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=1665 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2670 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2670 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=2670 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3015 	id=2   	Node	send keepalive packet to=1[NODE]
asn=3015 	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=3015 	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=3015 	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=3015 	id=2   	TSCH	Node: 2  length: 1 on packet ready
asn=3015 	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 1, co: 1]
asn=3015 	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: -1], channel offset=1 timeslot=1[SCHEDULER NEW]
asn=3015 	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=3016 	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 1 acked=true, remove packet[NODE]
asn=3016 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=3016 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3045 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=3045 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4140 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4140 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=4140 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=4620 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=4620 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=5655 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=5655 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=5655 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=6001 	id=-1  	Main	60 seconds, progress 10.00%[SIMULATOR]
asn=6001 	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=6001 	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=6001 	id=-1  	TSCH	Periodic process called for [Node]
asn=6001 	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=6001 	id=1   	TSCH	stats: {"idle_listen":794,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":1,"tx_data":5,"tx_data_rx_ack":0}[NODE]
asn=6001 	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=6001 	id=2   	TSCH	stats: {"idle_listen":793,"channel_scan":15,"rx_data":0,"rx_data_tx_ack":0,"tx_data":4,"tx_data_rx_ack":1}[NODE]
asn=6045 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=6045 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=7155 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=7155 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=7155 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=7335 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=7335 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=8460 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=8460 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=8460 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=8805 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=8805 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9016 	id=2   	Node	send keepalive packet to=1[NODE]
asn=9016 	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=9016 	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=9016 	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=9016 	id=2   	TSCH	Node: 2  length: 1 on packet ready
asn=9016 	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 1, co: 1]
asn=9016 	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: -1], channel offset=1 timeslot=1[SCHEDULER NEW]
asn=9016 	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=9016 	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 1 acked=true, remove packet[NODE]
asn=9016 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=9016 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9885 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=9885 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=9885 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=10230	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=10230	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11295	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11295	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=11295	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=11760	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=11760	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12000	id=-1  	Main	120 seconds, progress 20.00%[SIMULATOR]
asn=12000	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=12000	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=12000	id=-1  	TSCH	Periodic process called for [Node]
asn=12000	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=12000	id=1   	TSCH	stats: {"idle_listen":1588,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":2,"tx_data":9,"tx_data_rx_ack":0}[NODE]
asn=12000	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=12000	id=2   	TSCH	stats: {"idle_listen":1586,"channel_scan":15,"rx_data":0,"rx_data_tx_ack":0,"tx_data":9,"tx_data_rx_ack":2}[NODE]
asn=12630	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=12630	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=12630	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=13035	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=13035	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14025	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14025	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=14025	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=14460	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=14460	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15017	id=2   	Node	send keepalive packet to=1[NODE]
asn=15017	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=15017	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=15017	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=15017	id=2   	TSCH	Node: 2  length: 1 on packet ready
asn=15017	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 1, co: 1]
asn=15017	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: -1], channel offset=1 timeslot=1[SCHEDULER NEW]
asn=15017	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=15031	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 1 acked=true, remove packet[NODE]
asn=15031	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15031	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15465	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15465	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15465	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15840	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15840	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16980	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=16980	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=16980	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=17070	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=17070	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18001	id=-1  	Main	180 seconds, progress 30.00%[SIMULATOR]
asn=18001	id=-1  	Main	periodic route processing for all nodes [ROUTE]
asn=18001	id=-1  	Main	joined_routing/joined_tsch/total=2/2/2 [ROUTE]
asn=18001	id=-1  	TSCH	Periodic process called for [Node]
asn=18001	id=1   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=18001	id=1   	TSCH	stats: {"idle_listen":2384,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":3,"tx_data":13,"tx_data_rx_ack":0}[NODE]
asn=18001	id=2   	Main	On periodic timer method called from Manual Routing [ROUTING MANUAL]
asn=18001	id=2   	TSCH	stats: {"idle_listen":2382,"channel_scan":15,"rx_data":0,"rx_data_tx_ack":0,"tx_data":13,"tx_data_rx_ack":3}[NODE]
asn=18420	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18420	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=18420	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=18645	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=18645	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=19710	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=19710	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
